text,category
Myntra order of Rs 4216,Shopping
EMI payment HDFC of Rs 3545,EMI
Burger King meal of Rs 2066,Food
Dominos pizza of Rs 2740,Food
Burger King meal of Rs 386,Food
Stock market investment of Rs 118,Investment
EMI payment HDFC of Rs 3932,EMI
Flipkart purchase of Rs 1221,Shopping
Grocery at Reliance Fresh of Rs 1991,Food
Cafe coffee day of Rs 2968,Food
Dominos pizza of Rs 3756,Food
Electricity bill payment of Rs 4251,Utilities
Credit card bill payment of Rs 438,EMI
Amazon shopping of Rs 2698,Shopping
Monthly house rent of Rs 1876,Rent
Restaurant bill of Rs 1633,Food
KFC dinner of Rs 1734,Food
Amazon Prime subscription of Rs 2402,Entertainment
Ola cab of Rs 1750,Travel
Flipkart purchase of Rs 3338,Shopping
Dominos pizza of Rs 1564,Food
Ola cab of Rs 1467,Travel
Myntra order of Rs 2442,Shopping
Petrol at Indian Oil of Rs 1118,Travel
Netflix subscription of Rs 1875,Entertainment
Spotify subscription of Rs 661,Entertainment
Apartment rent transfer of Rs 4301,Rent
Uber ride of Rs 3379,Travel
Amazon Prime subscription of Rs 3291,Entertainment
Monthly house rent of Rs 1774,Rent
Electronics purchase of Rs 2637,Shopping
Myntra order of Rs 4505,Shopping
Mobile recharge of Rs 4661,Utilities
Gas bill of Rs 2616,Utilities
Ola cab of Rs 658,Travel
Credit card bill payment of Rs 1165,EMI
Monthly house rent of Rs 2580,Rent
Monthly house rent of Rs 2415,Rent
Stock market investment of Rs 2029,Investment
Metro recharge of Rs 865,Travel
Myntra order of Rs 3704,Shopping
PG rent payment of Rs 1367,Rent
Restaurant bill of Rs 144,Food
Electricity bill payment of Rs 1702,Utilities
Train ticket IRCTC of Rs 991,Travel
Electricity bill payment of Rs 3126,Utilities
Netflix subscription of Rs 395,Entertainment
Broadband recharge of Rs 3295,Utilities
Clothing store payment of Rs 4775,Shopping
KFC dinner of Rs 3212,Food
Bus ticket of Rs 2627,Travel
Home loan EMI of Rs 3534,EMI
Monthly house rent of Rs 216,Rent
Home loan EMI of Rs 2683,EMI
Broadband recharge of Rs 1150,Utilities
SIP investment of Rs 1201,Investment
Amazon Prime subscription of Rs 907,Entertainment
Gold investment of Rs 2639,Investment
Home loan EMI of Rs 364,EMI
Flipkart purchase of Rs 2817,Shopping
Zomato payment of Rs 1664,Food
Broadband recharge of Rs 4482,Utilities
Restaurant bill of Rs 3975,Food
Ola cab of Rs 4527,Travel
Train ticket IRCTC of Rs 3321,Travel
Restaurant bill of Rs 1712,Food
Bus ticket of Rs 3788,Travel
